osmid,highway,oneway,reversed,length,lanes,maxspeed,ref,name,bridge,access,junction,geometry_wkt
806227354,unclassified,False,False,7784.182536043631,,,,,,,,"LINESTRING (607165.2302498914 8000818.372427014, 607116.4660934582 8000896.186451454, 607059.7882068671 8000962.956127598, 606985.463461517 8001013.522870298, 606924.2305145125 8001039.054056906, 606884.9707580414 8001043.728237762, 606650.7055815964 8001054.779164268, 606345.7489966786 8001064.862183268, 606328.5012748901 8001065.4318662295, 606214.8113724341 8001078.354971451, 606005.8368550043 8001123.928519701, 605906.162083683 8001143.302339658, 605792.3142529639 8001148.666138727, 605508.306571592 8001110.775833654, 604709.2730647614 8000999.408029956, 604088.7527418802 8001020.395116109, 603471.1006018787 8000975.486455964, 603254.6768039885 8001003.940645923, 603079.1495619398 8001125.346567289, 602112.5132529321 8002031.677544759, 601068.4401482391 8002983.368739414, 600932.7778584034 8003115.767561875, 600636.2194110999 8003391.79027053, 600573.3029242564 8003457.121914061, 600527.2357124072 8003505.824279103, 600496.2793776006 8003545.596745035)"
668170552,primary,True,False,12.488755946815663,2,60,B1,,,,,"LINESTRING (602559.5942556824 8020377.349749806, 602570.9668386116 8020382.513387532)"
653185451,primary,True,False,466.0238788687254,,60,C46,,,,,"LINESTRING (602559.5942556824 8020377.349749806, 602544.1692278596 8020422.077508341, 602527.9306225758 8020461.110954361, 602507.4845361796 8020499.812145264, 602485.9767210513 8020533.993200747, 602464.7986011363 8020564.355062605, 602438.6030870634 8020595.50642046, 602416.8093559309 8020619.542188515, 602392.439925833 8020643.314659359, 602356.9431576399 8020672.478151704, 602324.9419070719 8020693.402106142, 602297.1922277929 8020710.918064785, 602271.7432303587 8020726.751238696)"
117214882,unclassified,False,True,40.47760949631503,,60,,Sam Nujoma Road,,,,"LINESTRING (574976.3327903898 8033405.758254906, 574983.762309826 8033366.164595892)"
123098968,unclassified,False,False,13.084577382320347,,,,,,,,"LINESTRING (574976.3327903898 8033405.758254906, 574974.5370612533 8033418.654838848)"
709250214,primary,True,False,24.511546480635772,2,60,C46,Oshakati Main Road,,,,"LINESTRING (574976.3327903898 8033405.758254906, 574961.3124676165 8033400.028311194, 574953.4254590975 8033397.0153890895)"
650914846,residential,False,True,1636.983854539743,,,,,,,,"LINESTRING (598437.2083652128 8023987.79240247, 598458.0246881731 8023976.413637009, 598477.8619384147 8023964.176658403, 598501.9548262185 8023951.19924576, 598537.1923774412 8023937.889661882, 598548.73905627 8023931.049333538, 598568.001259753 8023918.250812268, 598592.006523776 8023902.596006459, 598638.8647218534 8023880.321033312, 598720.252377751 8023845.171082248, 598760.9482573112 8023828.027497302, 598798.2303036794 8023810.46934539, 598851.1855683635 8023787.112216232, 598861.3720434727 8023781.628415174, 598882.6532455554 8023772.194282325, 598914.9052975131 8023757.349827331, 598929.6461358214 8023749.431053038, 598941.5341317838 8023740.973292059, 598950.8775185137 8023734.287580883, 598965.3040231748 8023720.727228962, 598988.2241609562 8023700.064919587, 599008.8728625514 8023680.719616019, 599026.6125000328 8023662.307245621, 599047.8511606674 8023633.841425136, 599066.1977696901 8023607.591990333, 599091.1046527653 8023560.573947966, 599107.5610358159 8023525.039378887, 599117.6216396466 8023492.369478088, 599122.7882480682 8023474.694982265, 599125.9933488498 8023460.969440149, 599135.6715231781 8023406.979277199, 599139.4321809512 8023364.592715707, 599145.3315267195 8023321.907738525, 599155.4109994826 8023235.993143674, 599160.0261838232 8023192.894124778, 599167.0111882095 8023111.089060899, 599174.9556479448 8023053.710599911, 599188.8321733807 8022985.569358062, 599188.8636365563 8022922.15591698, 599188.0052446106 8022907.333177577, 599184.3798908993 8022892.170242143, 599178.7715886821 8022878.776583436, 599134.3570621484 8022804.642838395, 599126.0571990471 8022793.254357566, 599098.5657290692 8022766.1834642645)"
653232752,primary,False,False,209.92262942879228,,120,C46,,,,,"LINESTRING (598437.2083652128 8023987.79240247, 598478.3539767844 8023935.3168763695, 598499.1657741193 8023906.023965337, 598556.0794467063 8023815.782566853)"
653232752,primary,False,True,271.7106012801555,,120,C46,,,,,"LINESTRING (598437.2083652128 8023987.79240247, 598395.4396456345 8024038.589059848, 598344.1984332702 8024089.399516131, 598248.2069882378 8024181.825992644)"
651032338,residential,False,True,39.835000714117456,,,,,,,,"LINESTRING (601093.1118522389 8021453.066121604, 601103.4358140422 8021491.353621427)"
